Digits,Time(s)
1,2.3255e-05
11,2.0499e-05
21,9.8461e-05
31,2.9798e-05
41,0.000236739
51,0.000351311
61,0.000509809
71,0.000567191
81,0.000819911
91,0.000909836
101,0.00183383
111,0.00137032
121,0.000163788
131,0.00196908
141,0.00262972
151,0.00295914
161,0.000273211
171,0.00376385
181,0.00478825
191,0.00500401
201,0.00638026
211,0.000796686
221,0.00770422
231,0.000404304
241,0.000450083
251,0.00588781
261,0.0110228
271,0.0119547
281,0.0133188
291,0.0149666
301,0.0155652
311,0.0177095
321,0.000600075
331,0.0211308
341,0.000670872
351,0.0240804
361,0.0245471
371,0.0281803
381,0.0283737
391,0.0317313
401,0.0327902
411,0.0362446
421,0.0404818
431,0.0412124
441,0.000980753
451,0.000980242
461,0.0452759
471,0.0521846
481,0.0010432
491,0.0581631
501,0.0360898
511,0.00118681
521,0.0621812
531,0.00125128
541,0.0731053
551,0.079033
561,0.0844392
571,0.0857033
581,0.0965581
591,0.100885
601,0.101144
611,0.103179
621,0.11352
631,0.116348
641,0.121286
651,0.00165208
661,0.130419
671,0.132606
681,0.141381
691,0.141081
701,0.151095
711,0.155738
721,0.166094
731,0.00194183
741,0.177285
751,0.167632
761,0.186574
771,0.157463
781,0.198886
791,0.191513
801,0.215378
811,0.215806
821,0.230639
831,0.241316
841,0.00239371
851,0.00241073
861,0.00244424
871,0.272523
881,0.277562
891,0.286655
901,0.294868
911,0.317578
921,0.317955
931,0.354739
941,0.330814
951,0.3551
961,0.352964
971,0.370945
981,0.375869
991,0.391946
1001,0.311518
1011,0.00318108
1021,0.254579
1031,0.440444
1041,0.344067
1051,0.00340966
1061,0.429343
1071,0.483175
1081,0.496945
1091,0.505578
1101,0.00373141
1111,0.543408
1121,0.551759
1131,0.559952
1141,0.592918
1151,0.607348
1161,0.603662
1171,0.616882
1181,0.64962
1191,0.645599
1201,0.66344
1211,0.675292
1221,0.701954
1231,0.716632
1241,0.735085
1251,0.718219
1261,0.764843
1271,0.590735
1281,0.798624
1291,0.544376
1301,0.836527
1311,0.509087
1321,0.865473
1331,0.87623
1341,0.908499
1351,0.929861
1361,0.934183
1371,0.972455
1381,0.982995
1391,0.00539756
1401,1.02649
1411,0.00563083
1421,0.00574391
1431,1.09709
1441,1.09826
1451,1.15311
1461,0.00578604
1471,1.19181
1481,0.00576205
1491,1.21854
