Digits,Time(s)
1,1.2985e-05
11,1.6082e-05
21,0.000107488
31,0.000137225
41,0.000330419
51,0.000447966
61,0.000618887
71,0.000637493
81,0.00103527
91,0.00110558
101,0.00198595
111,0.00184362
121,0.00228109
131,0.00248538
141,0.0033359
151,0.00428825
161,0.00506664
171,0.00486755
181,0.00731754
191,0.00672565
201,0.00880451
211,0.00886597
221,0.0120383
231,0.00707694
241,0.0138842
251,0.0154869
261,0.0169382
271,0.0194734
281,0.0211334
291,0.0228898
301,0.022646
311,0.0283634
321,0.0266221
331,0.0304422
341,0.0314972
351,0.0369062
361,0.0361474
371,0.0399971
381,0.0391567
391,0.0465666
401,0.04688
411,0.0489244
421,0.0503372
431,0.0546126
441,0.0609717
451,0.0661599
461,0.0646185
471,0.0752395
481,0.0611747
491,0.0837354
501,0.0579266
511,0.0924162
521,0.0910438
531,0.111913
541,0.115338
551,0.105669
561,0.122375
571,0.123381
581,0.132481
591,0.129692
601,0.149746
611,0.148772
621,0.151394
631,0.153662
641,0.167384
651,0.17179
661,0.212439
671,0.245478
681,0.203208
691,0.215544
701,0.226085
711,0.197902
721,0.238652
731,0.15865
741,0.251497
751,0.159193
761,0.281539
771,0.230323
781,0.319769
791,0.287728
801,0.300129
811,0.314976
821,0.318638
831,0.352529
841,0.361737
851,0.385949
861,0.347124
871,0.393071
881,0.408077
891,0.387363
901,0.382145
911,0.409548
921,0.432875
931,0.455721
941,0.444439
951,0.469849
961,0.459947
971,0.521868
981,0.559318
991,0.533841
1001,0.487849
1011,0.553525
1021,0.336959
1031,0.57171
1041,0.546983
1051,0.654569
1061,0.67805
1071,0.710914
1081,0.664744
1091,0.67446
1101,0.706613
1111,0.763797
1121,0.775219
1131,0.760776
1141,0.821925
1151,0.791429
1161,0.857047
1171,0.842273
1181,0.94428
1191,0.860482
1201,0.938431
1211,0.919315
1221,0.922797
1231,0.943218
1241,1.02508
1251,0.999311
1261,1.00066
1271,0.608928
1281,1.08521
1291,0.911862
1301,1.13562
1311,1.13602
1321,1.22591
1331,1.2138
1341,1.26529
1351,1.26783
1361,1.2572
1371,1.30167
1381,1.34037
1391,1.49084
1401,1.39746
1411,1.4135
1421,1.4882
1431,1.43892
1441,1.48384
1451,1.59828
1461,1.63845
1471,1.64351
1481,1.64044
1491,1.75069
